Date,First_day,First_year,Last_day,Last_year
1899-1900,Oct-15,(1899),Apr-30,(1900)
1900-1901,Oct-30,(1900),Apr-16,(1901)
1901-1902,Oct-12,(1901),Apr-22,(1902)
1902-1903,Nov-15,(1902),May-02,(1903)
1903-1904,Oct-15,(1903),Apr-24,(1904)
1904-1905,Oct-18,(1904),May-05,(1905)
1905-1906,Oct-14,(1905),Apr-27,(1906)
1906-1907,Oct-20,(1906),May-13,(1907)
1907-1908,Sep-30,(1907),May-05,(1908)
1908-1909,Sep-26,(1908),Apr-22,(1909)
1909-1910,Nov-12,(1909),May-21,(1910)
1910-1911,Oct-27,(1910),Apr-30,(1911)
1911-1912,-,-,,
1912-1913,-,-,,
1913-1914,-,-,,
1914-1915,-,-,,
1915-1916,-,-,,
1916-1917,-,-,,
1917-1918,-,-,,
1918-1919,-,-,,
1919-1920,-,-,,
1920-1921,-,-,Apr-25,(1921)
1921-1922,Oct-07,(1921),Apr-17,(1922)
1922-1923,Oct-17,(1922),Apr-23,(1923)
1923-1924,Oct-12,(1923),May-09,(1924)
1924-1925,Nov-06,(1924),Mar-18,(1925)
1925-1926,Oct-17,(1925),Apr-09,(1926)
1926-1927,Oct-23,(1926),Apr-24,(1927)
1927-1928,Sep-26,(1927),Apr-26,(1928)
1928-1929,Oct-16,(1928),May-01,(1929)
1929-1930,Oct-28,(1929),May-18,(1930)
1930-1931,Oct-16,(1930),May-21,(1931)
1931-1932,Nov-19,(1931),Apr-28,(1932)
1932-1933,Oct-18,(1932),May-11,(1933)
1933-1934,Nov-04,(1933),May-13,(1934)
1934-1935,Nov-21,(1934),May-04,(1935)
1935-1936,Sep-27,(1935),Apr-05,(1936)
1936-1937,Sep-26,(1936),Apr-23,(1937)
1937-1938,Oct-18,(1937),May-07,(1938)
1938-1939,Oct-19,(1938),Apr-16,(1939)
1939-1940,-,-,Apr-12,(1940)
1940-1941,Nov-10,(1940),Apr-19,(1941)
1941-1942,Oct-30,(1941),Apr-24,(1942)
1942-1943,Sep-26,(1942),May-09,(1943)
1943-1944,Oct-31,(1943),May-02,(1944)
1944-1945,Nov-14,(1944),Apr-25,(1945)
1945-1946,Oct-21,(1945),May-10,(1946)
1946-1947,Oct-07,(1946),May-28,(1947)
1947-1948,Oct-22,(1947),,
1948-1949,-,-,,
1949-1950,Oct-19,(1949),May-28,(1950)
1950-1951,Nov-02,(1950),Jun-02,(1951)
1951-1952,Sep-21,(1951),Apr-22,(1952)
1952-1953,Oct-14,(1952),Jun-05,(1953)
1953-1954,Oct-23,(1953),May-02,(1954)
1954-1955,Oct-25,(1954),Apr-12,(1955)
1955-1956,Sep-19,(1955),Apr-23,(1956)
1956-1957,Oct-24,(1956),May-16,(1957)
1957-1958,Oct-24,(1957),Apr-29,(1958)
1958-1959,Oct-28,(1958),Apr-20,(1959)
1959-1960,Sep-28,(1959),Apr-29,(1960)
1960-1961,Oct-14,(1960),May-13,(1961)
1961-1962,Sep-03,(1961),Apr-30,(1962)
1962-1963,Sep-08,(1962),Apr-22,(1963)
1963-1964,Oct-31,(1963),May-08,(1964)
1964-1965,Nov-14,(1964),Apr-11,(1965)
1965-1966,Sep-20,(1965),May-12,(1966)
1966-1967,Oct-13,(1966),May-13,(1967)
1967-1968,Oct-29,(1967),Apr-27,(1968)
1968-1969,Oct-08,(1968),Mar-24,(1969)
1969-1970,Oct-03,(1969),Apr-18,(1970)
1970-1971,Sep-24,(1970),Apr-22,(1971)
1971-1972,Sep-16,(1971),Apr-27,(1972)
1972-1973,Oct-29,(1972),May-02,(1973)
1973-1974,Oct-10,(1973),Apr-29,(1974)
1974-1975,Sep-12,(1974),May-29,(1975)
1975-1976,Oct-23,(1975),Apr-30,(1976)
1976-1977,Oct-26,(1976),Apr-02,(1977)
1977-1978,Oct-31,(1977),May-06,(1978)
1978-1979,Oct-22,(1978),May-10,(1979)
1979-1980,Oct-29,(1979),Apr-24,(1980)
1980-1981,Oct-27,(1980),Apr-08,(1981)
1981-1982,Oct-24,(1981),Apr-20,(1982)
1982-1983,Oct-19,(1982),May-17,(1983)
1983-1984,Nov-08,(1983),Apr-29,(1984)
1984-1985,Sep-25,(1984),Apr-26,(1985)
1985-1986,Sep-28,(1985),Apr-17,(1986)
1986-1987,Oct-10,(1986),Apr-20,(1987)
1987-1988,Nov-15,(1987),May-02,(1988)
1988-1989,Nov-15,(1988),Apr-30,(1989)
1989-1990,Sep-12,(1989),May-09,(1990)
1990-1991,Oct-07,(1990),Apr-30,(1991)
1991-1992,Oct-04,(1991),Mar-31,(1992)
1992-1993,Oct-29,(1992),Apr-24,(1993)
1993-1994,Sep-13,(1993),Apr-29,(1994)
1994-1995,Sep-21,(1994),,
1995-1996,-,-,,
1996-1997,-,-,,
1997-1998,-,-,,
1998-1999,-,-,,
1999-2000,-,-,,
2000-2001,-,-,,
2001-2002,-,-,,
2002-2003,-,-,,
2003-2004,-,-,,
2004-2005,-,-,,
2005-2006,-,-,May-10,(2006)
2006-2007,Oct-17,(2006),Apr-12,(2007)
2007-2008,Oct-21,(2007),May-14,(2008)
2008-2009,Nov-14,(2008),Apr-27,(2009)
2009-2010,Oct-21,(2009),May-12,(2010)
2010-2011,Nov-15,(2010),May-11,(2011)
2011-2012,Oct-25,(2011),Apr-03,(2012)
2012-2013,Oct-05,(2012),May-02,(2013)
2013-2014,Oct-18,(2013),May-12,(2014)
2014-2015,Nov-11,(2014),May-10,(2015)
2015-2016,Nov-05,(2015),Apr-30,(2016)
2016-2017,Nov-17,(2016),Apr-29,(2017)
2017-2018,Oct-09,(2017),Apr-24,(2018)
2018-2019,Oct-06,(2018),May-21,(2019)
